Description,GMP,STY,SCR,MMP,PlayerCount
[DAFE] Town 1 player,dafe,wil,DAFE,dafe-1p,1
[DAFE] Town 2 player,dafe,wil,DAFE,dafe-2p,2
[N's Map] The Fighting - 2 player,The_Fighting,bil,The_Fighting-2P,The_Fighting-2P,2
[N's Map] The Fighting - 3 player,The_Fighting,bil,The_Fighting-3P,The_Fighting-3P,3
[N's Map] The Fighting - 4 player,The_Fighting,bil,The_Fighting-4P,The_Fighting-4P,4
0. Tiny Town petr0's edition,MP1-comp,bil,petro,petro,
10 trains example map,10trainsExample,bil,10trainsExample,10trainsExample,
10 Trains Mission 1,10trainsMission1,bil,10trainsMission1,10trainsmission1,
57th St. 2 players,57th,bil,57th,57th2p,2
57th St. 3 players,57th,bil,57th,57th3p,3
57th St. 4 players,57th,bil,57th,57th4p,4
57th St. 5 players,57th,bil,57th,57th5p,5
57th St. 5 players,57th,bil,57th,57th6p,5
57th St. DEATH MATCH 2 players,57th,bil,57thDM,57thdm2p,2
57th St. DEATH MATCH 3 players,57th,bil,57thDM,57thdm3p,3
57th St. DEATH MATCH 4 players,57th,bil,57thDM,57thdm4p,4
57th St. DEATH MATCH 5 players,57th,bil,57thDM,57thdm5p,5
57th St. DEATH MATCH 6 players,57th,bil,57thDM,57thdm6p,6
57th St. DRILLING VESSEL 2 players,57thDV,bil,57thDV,57thdv2p,2
57th St. DRILLING VESSEL 3 players,57thDV,bil,57thDV,57thdv3p,3
57th St. DRILLING VESSEL 4 players,57thDV,bil,57thDV,57thdv4p,4
57th St. DRILLING VESSEL 5 players,57thDV,bil,57thDV,57thdv5p,5
57th St. DRILLING VESSEL 6 players,57thDV,bil,57thDV,57thdv6p,6
9/11,911,wil,911,911,
Aad's Messup 1 player,aad2,wil,aad2,aad2-1p,1
Aad's Messup 2 player,aad2,wil,aad2,aad2-2p,2
Aad's Messup 3 player,aad2,wil,aad2,aad2-3p,3
Aad's Messup 4 player,aad2,wil,aad2,aad2-4p,4
Aad's Messup 5 player,aad2,wil,aad2,aad2-5p,5
Aad's Messup 6 player,aad2,wil,aad2,aad2-6p,6
Air Line,airl,ste2,airl,airl,
ALPINE 1 (1 player),alpine1,bil,alpine1,alpine1,1
ALPINE 1 (2 player),alpine1,bil,alpine1,alpine1-2p,2
An unfinished map (223),223,ste,223,223,
Area18,Area18,bil,Area18,area18,
